FREQ,Frequency,INSTRUMENT_TYPE,Instrument Type,TENOR,Tenor,UNIT_MEASURE,Unit of Measure,DECIMALS,COLLECTION,Collection Indicator,TIME_PERIOD,OBS_VALUE,CALC_METHOD,Calculation Method
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2015-11,0.64,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2015-12,0.57,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2016-01,0.65,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2016-02,0.65,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2016-03,0.46,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2016-04,0.5,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2016-05,0.53,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2016-06,0.56,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2016-07,0.52,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2016-08,0.49,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2016-09,0.49,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2016-10,0.48,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2016-11,0.53,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2016-12,0.54,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2017-01,0.52,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2017-02,0.5,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2017-03,0.43,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2017-04,0.45,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2017-05,0.45,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2017-06,0.37,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2017-07,0.36,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2017-08,0.36,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2017-09,0.36,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2017-10,0.38,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2017-11,0.37,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2017-12,0.26,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2018-01,0.4,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2018-02,0.43,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2018-03,0.45,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2018-04,0.55,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2018-05,0.64,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2018-06,0.66,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2018-07,0.59,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2018-08,0.61,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2018-09,0.68,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2018-10,0.75,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2018-11,0.78,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2018-12,0.7,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2019-01,0.88,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2019-02,0.98,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2019-03,1.06,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2019-04,1.11,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2019-05,1.15,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2019-06,1.09,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2019-07,1.23,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2019-08,1.25,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2019-09,1.28,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2019-10,1.3,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2019-11,1.28,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2019-12,1.14,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2020-01,1.26,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2020-02,1.41,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2020-03,0.55,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2020-04,0.15,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2020-05,0.03,,
