Instrument,Total Assets,Date
DK0010245661,262815651.152081,2005-12-31T00:00:00Z
DK0010245661,387502124.796374,2006-12-31T00:00:00Z
DK0010245661,804083398.590446,2007-12-31T00:00:00Z
DK0010245661,733131516.164785,2008-12-31T00:00:00Z
DK0010245661,573579194.48881,2009-12-31T00:00:00Z
DK0010245661,487208717.819827,2010-12-31T00:00:00Z
DK0010245661,473671774.333972,2011-12-31T00:00:00Z
DK0010245661,473984817.383918,2012-12-31T00:00:00Z
DK0010245661,485710073.347831,2013-12-31T00:00:00Z
DK0010245661,420024534.095894,2014-12-31T00:00:00Z
DK0010245661,367669606.216712,2015-12-31T00:00:00Z
DK0010245661,312879894.674255,2016-12-31T00:00:00Z
DK0010245661,386209119.775632,2017-12-31T00:00:00Z
DK0010245661,354723762.421859,2018-12-31T00:00:00Z
DK0010245661,284013809.666767,2019-12-31T00:00:00Z
DK0010245661,292938743.352373,2020-12-31T00:00:00Z
DK0010245661,300802690.92577,2021-12-31T00:00:00Z
DK0060448595,396458484.064405,2001-09-30T00:00:00Z
DK0060448595,596497289.252684,2002-09-30T00:00:00Z
DK0060448595,844072164.948454,2003-09-30T00:00:00Z
DK0060448595,940907726.681562,2004-09-30T00:00:00Z
DK0060448595,953816880.059341,2005-09-30T00:00:00Z
DK0060448595,1357067564.35105,2006-09-30T00:00:00Z
DK0060448595,1483679525.22255,2007-09-30T00:00:00Z
DK0060448595,1509209182.70867,2008-09-30T00:00:00Z
DK0060448595,1566286388.67034,2009-09-30T00:00:00Z
DK0060448595,1421671758.65791,2010-09-30T00:00:00Z
DK0060448595,1659465687.33348,2011-09-30T00:00:00Z
DK0060448595,1755845052.19567,2012-09-30T00:00:00Z
DK0060448595,1735312261.85724,2013-09-30T00:00:00Z
DK0060448595,1761361707.90483,2014-09-30T00:00:00Z
DK0060448595,1620572901.06071,2015-09-30T00:00:00Z
DK0060448595,1662061155.15289,2016-09-30T00:00:00Z
DK0060448595,1913336191.42889,2017-09-30T00:00:00Z
DK0060448595,1831380421.08212,2018-09-30T00:00:00Z
DK0060448595,1858876089.5274,2019-09-30T00:00:00Z
DK0060448595,2125492048.4963,2020-09-30T00:00:00Z
DK0060448595,2466446610.407,2021-09-30T00:00:00Z
DK0060448595,4609298768.42744,2022-09-30T00:00:00Z
DK0010272632,3008694113.78169,2000-12-31T00:00:00Z
DK0010272632,1800239664.46974,2001-12-31T00:00:00Z
DK0010272632,1122756396.65634,2002-12-31T00:00:00Z
DK0010272632,1114114367.76755,2003-12-31T00:00:00Z
DK0010272632,1110118016.1611,2004-12-31T00:00:00Z
DK0010272632,1284836358.43933,2005-12-31T00:00:00Z
DK0010272632,1456724980.5227,2006-12-31T00:00:00Z
DK0010272632,1533868441.66014,2007-12-31T00:00:00Z
DK0010272632,1479909078.95478,2008-12-31T00:00:00Z
DK0010272632,1372986703.10004,2009-12-31T00:00:00Z
DK0010272632,1760439481.5267,2010-12-31T00:00:00Z
DK0010272632,1946891868.36148,2011-12-31T00:00:00Z
DK0010272632,1450842298.98075,2012-12-31T00:00:00Z
DK0010272632,1651800523.38653,2013-12-31T00:00:00Z
DK0010272632,1661981900.01137,2014-12-31T00:00:00Z
DK0010272632,1626356995.25597,2015-12-31T00:00:00Z
DK0010272632,1817010674.1414,2016-12-31T00:00:00Z
DK0010272632,1891813478.18378,2017-12-31T00:00:00Z
DK0010272632,1999324189.41128,2018-12-31T00:00:00Z
DK0010272632,2504202942.05944,2019-12-31T00:00:00Z
DK0010272632,2738165583.34975,2020-12-31T00:00:00Z
DK0010272632,3600947939.75996,2021-12-31T00:00:00Z
DK0010272632,4403385780.29856,2022-12-31T00:00:00Z
DK0015216675,21082973.1847246,2000-12-31T00:00:00Z
DK0015216675,12518034.7513481,2001-12-31T00:00:00Z
DK0015216675,11944102.6293829,2002-12-31T00:00:00Z
DK0015216675,14169777.8528592,2003-12-31T00:00:00Z
DK0015216675,14083505.0982252,2004-12-31T00:00:00Z
